RAJ2000,DEJ2000,l,b,SFR,Name,Ref,Method,YSOtype,vartype,RAGdeg,DEGdeg,GaiaDR3,plx,ruwe,Gmag,BP-RP,angDist,rgeo,rpgeo
53.29839,10.59885,174.55997,-35.58723,       Taurus-Auriga Complex ,   GSC 00653-00192  ,2008hsf2.book..813M,spectroscopy,WTT*,         ,53.29842102,10.59890866,13078626388631424,7.2791,0.966,11.866599,1.251611,0.237997,136.761673,136.754639
52.01034,11.23976,172.89488,-36.01932,       Taurus-Auriga Complex ,   RX J0328.0+1114  ,2008hsf2.book..813M,spectroscopy,WTT*,         ,52.0105522,11.23988905,16353968448495616,18.9876,1.261,14.490755,2.955751,0.881609,,
51.58851,11.51505,172.28992,-36.10674,       Taurus-Auriga Complex ,   RX J0326.3+1131  ,2008hsf2.book..813M,spectroscopy,WTT*,         ,51.58856483,11.51504788,16426806798453632,16.2485,9.348,13.463496,2.65932,0.193578,61.2994728,61.2377739
48.69667,11.45756,169.71964,-38.06416,       Taurus-Auriga Complex ,   RX J0314.7+1127  ,2008hsf2.book..813M,spectroscopy,WTT*,         ,48.69664654,11.45762134,16983468919490176,17.6338,9.457,12.110644,2.335504,0.235835,,
49.85295,12.79085,168.3416,-34.48257,       Taurus-Auriga Complex ,    TYC 655-1494-1  ,2008hsf2.book..813M,spectroscopy,WTT*,         ,49.85332605,12.79127224,17738253588011520,8.2461,1.155,10.04893,1.042168,0.895,,
45.41509,10.94241,166.97484,-40.53778,       Taurus-Auriga Complex ,     TYC 644-257-1  ,2008hsf2.book..813M,spectroscopy,WTT*,         ,45.41508913,10.94239869,27262532545349888,2.8565,1.01,10.888511,0.73437,0.040835,345.647034,345.909668
44.25191,10.31871,166.30898,-41.73964,       Taurus-Auriga Complex ,   GSC 00644-00256  ,2008hsf2.book..813M,spectroscopy,WTT*,         ,44.25195165,10.31870418,27308020547044864,15.8979,1.351,11.863459,2.064845,0.148982,,
45.34635,11.39644,166.53156,-40.22685,       Taurus-Auriga Complex ,         [LH98] 35  ,2008hsf2.book..813M,spectroscopy,WTT*,         ,45.34659734,11.3963767,27487726270657536,13.4505,5.038,10.986945,1.580519,0.902137,65.9580841,65.930954
42.62573,11.87011,163.35405,-41.47156,       Taurus-Auriga Complex ,          HD 17662  ,2008hsf2.book..813M,spectroscopy,WTT*,         ,42.62574008,11.87009867,28502060106925824,12.0795,1.192,8.250117,0.974741,0.054062,,
44.91243,14.04276,163.99829,-38.39878,       Taurus-Auriga Complex ,          HD 18580  ,2008hsf2.book..813M,spectroscopy,WTT*,         ,44.9124358,14.04275345,29244363599514624,3.4896,1.278,8.756374,1.335239,0.031087,283.889709,283.584015
