RAJ2000,DEJ2000,l,b,SFR,Name,Ref,Method,YSOtype,vartype,RAGdeg,DEGdeg,GaiaDR3,plx,ruwe,Gmag,BP-RP,angDist,rgeo,rpgeo,D
53.29839,10.59885,174.55997,-35.58723,       Taurus-Auriga Complex ,   GSC 00653-00192  ,2008hsf2.book..813M,spectroscopy,WTT*,         ,53.29842102,10.59890866,1.3078626388631424e+16,7.2791,0.966,11.866599,1.251611,0.237997,136.761673,136.754639,0.137379621107005
52.01034,11.23976,172.89488,-36.01932,       Taurus-Auriga Complex ,   RX J0328.0+1114  ,2008hsf2.book..813M,spectroscopy,WTT*,         ,52.0105522,11.23988905,1.6353968448495616e+16,18.9876,1.261,14.490755,2.955751,0.881609,,,0.05266595040974109
51.58851,11.51505,172.28992,-36.10674,       Taurus-Auriga Complex ,   RX J0326.3+1131  ,2008hsf2.book..813M,spectroscopy,WTT*,         ,51.58856483,11.51504788,1.6426806798453632e+16,16.2485,9.348,13.463496,2.65932,0.193578,61.2994728,61.2377739,0.06154414253623412
48.69667,11.45756,169.71964,-38.06416,       Taurus-Auriga Complex ,   RX J0314.7+1127  ,2008hsf2.book..813M,spectroscopy,WTT*,         ,48.69664654,11.45762134,1.6983468919490176e+16,17.6338,9.457,12.110644,2.335504,0.235835,,,0.05670927423470834
49.85295,12.79085,168.3416,-34.48257,       Taurus-Auriga Complex ,    TYC 655-1494-1  ,2008hsf2.book..813M,spectroscopy,WTT*,         ,49.85332605,12.79127224,1.773825358801152e+16,8.2461,1.155,10.04893,1.042168,0.895,,,0.12126944858781726
45.41509,10.94241,166.97484,-40.53778,       Taurus-Auriga Complex ,     TYC 644-257-1  ,2008hsf2.book..813M,spectroscopy,WTT*,         ,45.41508913,10.94239869,2.726253254534989e+16,2.8565,1.01,10.888511,0.73437,0.040835,345.647034,345.909668,0.3500787677227376
44.25191,10.31871,166.30898,-41.73964,       Taurus-Auriga Complex ,   GSC 00644-00256  ,2008hsf2.book..813M,spectroscopy,WTT*,         ,44.25195165,10.31870418,2.7308020547044864e+16,15.8979,1.351,11.863459,2.064845,0.148982,,,0.06290138949169388
45.34635,11.39644,166.53156,-40.22685,       Taurus-Auriga Complex ,         [LH98] 35  ,2008hsf2.book..813M,spectroscopy,WTT*,         ,45.34659734,11.3963767,2.7487726270657536e+16,13.4505,5.038,10.986945,1.580519,0.902137,65.9580841,65.930954,0.07434667856213524
42.62573,11.87011,163.35405,-41.47156,       Taurus-Auriga Complex ,          HD 17662  ,2008hsf2.book..813M,spectroscopy,WTT*,         ,42.62574008,11.87009867,2.8502060106925824e+16,12.0795,1.192,8.250117,0.974741,0.054062,,,0.0827848834802765
44.91243,14.04276,163.99829,-38.39878,       Taurus-Auriga Complex ,          HD 18580  ,2008hsf2.book..813M,spectroscopy,WTT*,         ,44.9124358,14.04275345,2.9244363599514624e+16,3.4896,1.278,8.756374,1.335239,0.031087,283.889709,283.584015,0.28656579550664835
46.1854,14.62455,164.78935,-37.18682,       Taurus-Auriga Complex ,         [LH98] 40  ,2008hsf2.book..813M,spectroscopy,WTT*,         ,46.18541037,14.62451105,3.0745196970914176e+16,7.0181,0.968,10.412413,0.960559,0.144783,141.875565,141.829788,0.14248870776990924
43.46505,15.35198,161.57431,-38.16676,       Taurus-Auriga Complex ,         [LH98] 20  ,2008hsf2.book..813M,spectroscopy,WTT*,         ,43.46507172,15.35199681,3.263457456e+16,11.3643,1.23,10.182193,1.183096,0.09669,87.7165527,87.6864624,0.08799486110011175
