SFCno,GLON,GLAT,Vmean,SigV,Rang,MaxAxis,MinAxis,Rgal,D,Wco,Mgas,Rad,Q,Sigma,SFEbr,SFRbr,tff,aVir,_RA_icrs,_DE_icrs
227,336.3,-0.05,-75.34,10.8,0.35,0.41,0.33,4.56,10.79,394,947000,66.84,364,63.1,0.379,0.914,9.32,9.58,248.22,-48.05
228,337.9,-0.02,-55,7.65,0.58,0.81,0.49,5.08,11.82,2930,8490000,119.13,165,161,0.0301,0.0577,7.41,0.958,249.78,-46.84
68,30.01,-0.25,98.41,5.34,0.42,0.52,0.38,4.44,8.42,2080,2970000,61.64,95,223,0.0472,0.0569,4.66,0.69,281.75,-2.71
111,79.18,0.45,-3.21,3.48,0.95,1,0.93,8.77,4.25,9640,3510000,70.6,82.8,218,0.0352,0.0479,5.26,0.283,307.85,40.27
274,358.63,-0.3,-1.41,9.37,0.24,0.47,0.17,6.75,15.24,483,2330000,64.29,72.4,151,0.0473,0.0686,5.61,2.82,265.88,-30.26
2,0.14,-0.64,15.44,3.3,0.29,0.44,0.24,0.25,8.25,544,769000,42.39,70,113,0.127,0.171,5.22,0.698,267.11,-29.15
249,347.78,0.08,-95.96,6.88,0.33,0.42,0.3,2.7,10.32,423,933000,59.93,62.5,73.6,0.0966,0.199,7.97,3.54,258.15,-39.08
110,76.56,0.25,-1.04,3.75,0.91,1.07,0.84,8.68,4.59,7990,3430000,73.23,60.4,188,0.0268,0.039,5.62,0.349,306.09,38.03
72,31.02,-0.09,102.25,5.59,0.45,0.57,0.4,4.42,6.69,1340,1240000,52.9,58.1,87.1,0.0695,0.103,5.73,1.55,282.07,-1.74
191,311.67,0.1,-50.97,5.53,0.47,0.56,0.43,6.52,7.08,2600,2690000,57.79,57.9,234,0.033,0.038,4.45,0.767,211.43,-61.51
174,298.6,-0.47,29.68,4.11,0.44,0.46,0.43,10.27,11.12,261,671000,85.07,54.4,28.7,0.115,0.472,15.9,2.5,183.28,-63.02
181,303.39,-0.71,26.25,4.49,0.43,0.57,0.38,10.13,11.91,261,769000,89.85,47.6,26.5,0.0899,0.375,16.12,2.74,193.89,-63.58
53,23.83,-0.29,97.47,7.58,0.39,0.59,0.32,3.99,9.82,794,1590000,67.32,46.9,91.1,0.045,0.0847,7.27,2.83,278.94,-8.23
36,12.63,-0.04,46.41,7.38,0.59,0.78,0.51,4.27,12.14,813,2490000,125.08,45.7,58.1,0.0285,0.108,14.72,3.19,273.32,-18.01
79,37.59,-0.24,57.74,9.27,0.6,0.64,0.59,5.96,9.64,2170,4150000,101.68,42.8,124,0.0161,0.0348,8.36,2.46,285.2,4.03
182,305.62,-0.24,-42.13,4.43,0.43,0.78,0.32,6.93,4.48,492,205000,33.63,41.6,42.1,0.245,0.453,7.15,3.75,198.79,-62.99
94,48.96,-0.03,51.73,4.77,0.68,0.75,0.65,6.51,6.68,1290,1190000,79.06,41.4,57.8,0.0525,0.145,10.69,1.76,290.35,14.21
212,326.99,-0.21,-61.16,4.19,0.57,0.59,0.55,5.62,10.31,1450,3210000,101.73,38.9,96.6,0.019,0.0468,9.51,0.648,237.48,-54.52
164,283.24,-0.43,1.05,6.58,0.5,0.6,0.46,8.68,4.48,928,354000,39.43,37.5,66.6,0.134,0.239,6.91,5.61,154.29,-57.28
50,22.93,-0.16,80,7.44,0.49,0.61,0.44,4.35,5.02,2400,1250000,42.83,34.8,195,0.0425,0.0457,4.17,2.21,278.41,-8.97
78,35.46,-0.15,53.59,4.76,0.45,0.61,0.39,5.99,10.33,1100,2440000,81.41,34.5,101,0.0221,0.0445,7.81,0.88,284.15,2.18
15,3.83,-0.04,5.6,6.66,0.35,0.43,0.31,6.17,14.62,606,2690000,88.53,32.1,110,0.0187,0.0408,8.43,1.7,268.66,-25.67
222,332.5,-0.43,-51.52,5.13,0.38,0.5,0.34,5.63,3.5,867,220000,23.33,30.9,113,0.183,0.188,3.99,3.25,244.54,-51.03
49,22.08,0.08,84.34,8.21,0.43,0.58,0.37,4.16,10.53,1150,2640000,79.29,30.5,115,0.0181,0.0337,7.21,2.36,277.79,-9.61
204,320.42,-0.18,-6.91,6.18,0.6,0.7,0.56,8.21,12.72,1040,3500000,133.5,30.3,57.8,0.0136,0.0481,13.68,1.7,227.68,-58.24
202,320.17,-1.1,-57.11,6.4,0.41,0.91,0.28,6.06,9.19,303,531000,66.28,29.8,21.3,0.0821,0.261,12.29,5.95,228.17,-59.16
248,346.05,-0.06,-10.58,5.87,0.39,0.43,0.37,7.15,15.1,912,4310000,102.66,29.4,124,0.0107,0.0231,8.31,0.954,256.96,-40.55
173,297.23,-0.86,24.5,6.32,0.47,0.6,0.41,9.93,10.32,407,893000,83.98,26.6,35.6,0.045,0.157,13.51,4.38,180.15,-63.17
218,329.43,0.31,-100.11,5.93,0.29,0.35,0.27,4.44,6.31,511,423000,32.33,26.2,117,0.09,0.109,4.69,3.13,240.08,-52.56
169,291.62,-0.67,9.9,6.22,0.48,0.66,0.41,9.09,7.62,185,223000,63.48,25.3,21.3,0.153,0.703,17.76,12.8,168.67,-61.4
253,348.97,0.01,-80.03,8.84,0.43,0.57,0.37,2.86,10.69,565,1340000,79.53,23.9,58.5,0.0277,0.0729,10.17,5.41,259.11,-38.15
245,345.37,-0.23,-6.45,6.17,0.33,0.42,0.29,7.7,15.62,305,1550000,88.81,23.5,53.3,0.0237,0.0685,11.17,2.54,256.6,-41.2
64,28.71,0.09,106.29,3.59,0.41,0.54,0.35,4.18,8.36,380,552000,59.53,22,34.5,0.06,0.159,10.26,1.62,280.85,-3.72
56,24.56,0.03,109.91,4.32,0.38,0.47,0.35,3.8,8.07,1460,1800000,54.04,21.9,178,0.0174,0.0221,4.91,0.653,278.99,-7.43
221,331.44,-0.54,-67.75,3.91,0.41,0.41,0.4,5.14,4.31,1080,417000,30.49,21.1,141,0.0745,0.0834,4.33,1.3,243.44,-51.84
