designation,l,b,dl,db,ra,dec,dra,ddec
SSTGLMA G064.5244+01.1116,64.524457,1.111614,0.3,0.3,297.442682,28.359406,0.3,0.3
SSTGLMA G064.5361+02.1303,64.536167,2.13032,0.3,0.3,296.447203,28.883165,0.3,0.3
SSTGLMA G064.5721+01.1438,64.572131,1.143892,0.3,0.3,297.438585,28.416859,0.3,0.3
SSTGLMA G064.5808+01.1670,64.580803,1.167056,0.3,0.3,297.420897,28.436089,0.3,0.3
SSTGLMA G064.5925+02.9442,64.592581,2.944258,0.3,0.3,295.671292,29.337176,0.3,0.3
SSTGLMA G064.6126+01.2039,64.612655,1.203911,0.3,0.3,297.403162,28.482233,0.3,0.3
SSTGLMA G064.6262+01.0862,64.626231,1.086242,0.3,0.3,297.526296,28.434158,0.3,0.3
SSTGLMA G064.6397+01.2037,64.639739,1.203792,0.3,0.3,297.418916,28.505504,0.3,0.3
SSTGLMA G064.6532+02.0310,64.653202,2.031061,0.3,0.3,296.612283,28.934628,0.3,0.3
SSTGLMA G064.6574+02.9303,64.657448,2.9303,0.3,0.3,295.722002,29.386555,0.3,0.3
SSTGLMA G064.6584+00.4155,64.658488,0.415589,0.3,0.3,298.199705,28.119344,0.3,0.3
SSTGLMA G064.6624+03.0039,64.662476,3.003978,0.3,0.3,295.651364,29.427382,0.3,0.3
SSTGLMA G064.6745-00.2083,64.674559,-0.208314,0.3,0.3,298.814462,27.811615,0.3,0.3
SSTGLMA G064.6792+02.0544,64.679282,2.054408,0.3,0.3,296.604147,28.968887,0.3,0.3
SSTGLMA G064.7087-00.3238,64.708746,-0.323853,0.3,0.3,298.946205,27.78102,0.3,0.3
SSTGLMA G064.7382+01.0727,64.738264,1.072714,0.3,0.3,297.604363,28.523719,0.3,0.3
SSTGLMA G064.7493+01.1093,64.749303,1.109336,0.3,0.3,297.574867,28.551853,0.3,0.3
SSTGLMA G064.7745+02.3902,64.774558,2.390281,0.3,0.3,296.325952,29.219448,0.3,0.3
SSTGLMA G064.7759+01.4241,64.77597,1.4241,0.3,0.3,297.281275,28.734603,0.3,0.3
SSTGLMA G064.7835+00.2352,64.78353,0.235292,0.3,0.3,298.447949,28.133925,0.3,0.3
SSTGLMA G064.7952+03.1560,64.795196,3.156033,0.3,0.3,295.574746,29.617749,0.3,0.3
SSTGLMA G064.7996-00.0757,64.799596,-0.075703,0.3,0.3,298.759228,27.987219,0.3,0.3
