SPICY,ra,dec,l,b,GaiaDR2,source_id,parallax
104880,293.863407,18.286479,54.152004,-1.044297,1825084951587311744,1825084951587311744,2.3945404945328193
104889,293.892352,18.282433,54.161839,-1.070278,1825085024629594112,1825085024629594112,0.18262421171729878
104888,293.887667,18.299312,54.174424,-1.058181,1825085089026274816,1825085089026274816,-1.871003603
104885,293.88018,18.317742,54.187071,-1.043006,1825085673141941376,1825085673141941376,-0.618662745
104744,293.657932,18.433103,54.185415,-0.802608,1825102719896770432,1825102719896770432,0.088305991
104799,293.730158,18.543508,54.315205,-0.808883,1825107942576796544,1825107942576796544,-0.452508823
104897,293.906503,18.761026,54.586546,-0.849131,1825118383614979968,1825118383614979968,1.445751609477931
105183,294.378953,18.950878,54.970453,-1.146786,1825147692473881600,1825147692473881600,0.7585670669989271
105167,294.350193,18.956733,54.962257,-1.120197,1825147726833602944,1825147726833602944,-3.254508783
105128,294.284478,19.047773,55.011319,-1.021492,1825152163539336960,1825152163539336960,0.7765406544513953
105119,294.260059,19.092163,55.038779,-0.979667,1825153572292896256,1825153572292896256,
104712,293.616257,18.579677,54.294406,-0.696925,1825154701856876672,1825154701856876672,
104724,293.635791,18.698224,54.407051,-0.655586,1825158039063211776,1825158039063211776,-0.415348226
104633,293.509782,18.785559,54.425555,-0.508875,1825162334031695872,1825162334031695872,1.3898781617281155
104517,293.345511,18.954118,54.497754,-0.291247,1825180304176340608,1825180304176340608,
104641,293.52443,19.010282,54.628837,-0.412067,1825185900503072256,1825185900503072256,0.20206877007479387
104608,293.465917,19.020053,54.610573,-0.358942,1825186660743997184,1825186660743997184,-6.928126016
104653,293.542291,19.024662,54.649601,-0.419864,1825187171813404160,1825187171813404160,0.49788673724504084
104630,293.506896,19.05177,54.65709,-0.377458,1825188206932392832,1825188206932392832,
104642,293.526152,19.104672,54.712184,-0.367731,1825189031548120704,1825189031548120704,0.5207127348372693
104882,293.872439,19.007425,54.786142,-0.701078,1825194666563554304,1825194666563554304,-0.206513062
104831,293.779123,19.016194,54.750898,-0.619722,1825195246352086912,1825195246352086912,0.7182451724613068
105093,294.21702,19.133499,55.05499,-0.923992,1825200885676821504,1825200885676821504,-1.289178797
105095,294.217628,19.13922,55.060263,-0.9217,1825200954396298368,1825200954396298368,0.3379429795221329
104968,294.01872,19.119671,54.951517,-0.767186,1825202736775793152,1825202736775793152,1.619262584343788
104734,293.646453,19.074118,54.740615,-0.481967,1825208341741021696,1825208341741021696,
104769,293.698986,19.195989,54.871259,-0.466181,1825213839283144704,1825213839283144704,0.19833031119718522
104832,293.781511,19.258224,54.963518,-0.504047,1825214492134107520,1825214492134107520,
104947,293.986406,19.239147,55.040989,-0.682322,1825216411952048000,1825216411952048000,-0.017056237
104925,293.933553,19.334709,55.10016,-0.592211,1825219469968990464,1825219469968990464,
104827,293.770291,19.327904,55.019267,-0.460922,1825221600272666752,1825221600272666752,0.262340263
105125,294.279884,19.32524,55.251317,-0.882122,1825298536057432704,1825298536057432704,0.04119507
105010,294.110319,19.395824,55.234808,-0.708047,1825313306410181504,1825313306410181504,0.8014770868919298
104977,294.044905,19.46582,55.265838,-0.620058,1825317605713463296,1825317605713463296,0.33909960625384833
104964,294.012294,19.532343,55.308943,-0.560792,1825318945743331968,1825318945743331968,-0.144717591
105156,294.334767,19.549772,55.472517,-0.817514,1825321965066069760,1825321965066069760,
104482,293.292274,18.973422,54.490293,-0.237844,1825367835313485824,1825367835313485824,1.8218989858128962
104522,293.356192,18.996327,54.53958,-0.279661,1825368114518445952,1825368114518445952,0.22700317444786602
104378,293.135292,18.95704,54.404212,-0.115783,1825369828178171136,1825369828178171136,-3.157795032
104472,293.281312,19.084367,54.582392,-0.175122,1825372546925092224,1825372546925092224,0.6047435887657812
104423,293.196162,19.141875,54.593848,-0.076892,1825373985704784768,1825373985704784768,0.5738281496728921
104492,293.311411,19.170079,54.671167,-0.158558,1825379345826638464,1825379345826638464,0.4166255339768755
104456,293.267031,19.175566,54.655698,-0.119214,1825379964299334528,1825379964299334528,-0.189158476
104501,293.3205,19.200702,54.702122,-0.151258,1825380239180508544,1825380239180508544,
104519,293.348083,19.211952,54.72457,-0.168611,1825381751009019008,1825381751009019008,0.3045444961543841
104336,293.062987,19.054116,54.456237,-0.009056,1825383438963203968,1825383438963203968,0.5544464667562785
104348,293.076389,19.075563,54.481134,-0.009803,1825383572071665920,1825383572071665920,-0.2637205
104346,293.0753,19.103342,54.504968,0.004503,1825383885603631104,1825383885603631104,5.599337909613801
104414,293.174536,19.143499,54.585401,-0.058219,1825385702375570944,1825385702375570944,0.3137270594230103
104380,293.135884,19.203718,54.620501,0.002831,1825386904969595648,1825386904969595648,0.013757973655272048
104279,292.995994,19.205531,54.558351,0.119417,1825389791187513600,1825389791187513600,0.6145633390848148
104400,293.159981,19.261296,54.681908,0.010711,1825393227161474432,1825393227161474432,
104418,293.193411,19.262208,54.69795,-0.016481,1825393334534775424,1825393334534775424,
104475,293.284517,19.349061,54.815544,-0.049772,1825395769783053056,1825395769783053056,1.3905169865136937
104405,293.162292,19.347525,54.758467,0.050447,1825397075453011328,1825397075453011328,0.2791892086803173
104439,293.23341,19.350865,54.793811,-0.006689,1825398381123129216,1825398381123129216,0.5492959126697127
104665,293.556529,19.219092,54.826169,-0.337347,1825400923743190528,1825400923743190528,
104648,293.535528,19.23104,54.827003,-0.314211,1825401645297681024,1825401645297681024,1.201105093631077
104738,293.650038,19.308696,54.947352,-0.371058,1825403500724483456,1825403500724483456,0.4677779128727363
104623,293.500639,19.314276,54.88384,-0.245056,1825405669691599360,1825405669691599360,0.3280729201073587
104591,293.443437,19.354046,54.892476,-0.178569,1825406833618941568,1825406833618941568,1.2581295861665178
104601,293.459968,19.377013,54.920124,-0.181086,1825406941025789056,1825406941025789056,-1.64189945
104629,293.505864,19.370975,54.935824,-0.221886,1825408173648790656,1825408173648790656,-0.109849178
104787,293.721721,19.340478,55.007986,-0.414756,1825409273156631936,1825409273156631936,-0.014470011
104776,293.710034,19.35329,55.013828,-0.398894,1825409517977431296,1825409517977431296,2.073210997290837
104750,293.662985,19.398118,55.031461,-0.338325,1825410686206903808,1825410686206903808,0.9365014683308521
104847,293.813406,19.516014,55.203423,-0.405,1825413469350842624,1825413469350842624,-3.873154461
104762,293.689344,19.506973,55.138691,-0.307194,1825414671967537152,1825414671967537152,-0.884669991
104834,293.784033,19.570585,55.237651,-0.354278,1825416797945375360,1825416797945375360,1.3340373112009367
104524,293.359226,19.425218,54.916289,-0.074606,1825419924675835136,1825419924675835136,-0.344302765
104645,293.531397,19.450635,55.017172,-0.204331,1825420783673781248,1825420783673781248,0.7112751675229531
104638,293.518447,19.475471,55.032975,-0.181611,1825420955472462080,1825420955472462080,-1.057199054
104496,293.315538,19.478594,54.943069,-0.012728,1825423330590124416,1825423330590124416,-0.128584968
104467,293.274795,19.4661,54.913555,0.01485,1825423635531836288,1825423635531836288,0.4933618186781998
104668,293.558211,19.491052,55.064779,-0.206842,1825426830987760384,1825426830987760384,1.5382579702975303
104647,293.535269,19.492273,55.055359,-0.187336,1825426865347476224,1825426865347476224,0.07246576
104660,293.550273,19.523915,55.08989,-0.184361,1825427213273333248,1825427213273333248,5.368068766932446
104588,293.43797,19.62082,55.123369,-0.044839,1825432431626950912,1825432431626950912,
104701,293.601499,19.684791,55.25398,-0.148522,1825433943455575424,1825433943455575424,
